Mês	SELIC	IPCA	DÓLAR
jan/00	19,00%	8,85%	1,82
fev/00	19,00%	7,86%	1,78
mar/00	18,50%	6,92%	1,74
abr/00	18,50%	6,77%	1,78
mai/00	18,50%	6,47%	1,83
jun/00	17,50%	6,51%	1,81
jul/00	16,50%	7,06%	1,8
ago/00	16,50%	7,86%	1,81
set/00	16,50%	7,77%	1,84
out/00	16,50%	6,65%	1,89
nov/00	16,50%	5,99%	1,94
dez/00	15,75%	5,97%	1,97
jan/01	15,25%	5,92%	1,96
fev/01	15,25%	6,27%	2,01
mar/01	15,75%	6,44%	2,1
abr/01	16,25%	6,61%	2,22
mai/01	16,75%	7,04%	2,29
jun/01	18,25%	7,35%	2,38
jul/01	19,00%	7,05%	2,46
ago/01	19,00%	6,41%	2,51
set/01	19,00%	6,46%	2,69
out/01	19,00%	7,19%	2,73
nov/01	19,00%	7,61%	2,56
dez/01	19,00%	7,67%	2,39
jan/02	19,00%	7,62%	2,37
fev/02	18,75%	7,51%	2,41
mar/02	18,50%	7,75%	2,35
abr/02	18,50%	7,98%	2,31
mai/02	18,50%	7,77%	2,46
jun/02	18,50%	7,66%	2,7
jul/02	18,00%	7,51%	3,22
ago/02	18,00%	7,46%	3,15
set/02	18,00%	7,93%	3,48
out/02	21,00%	8,45%	3,77
nov/02	22,00%	10,93%	3,6
dez/02	25,00%	12,53%	3,62
jan/03	25,50%	14,47%	3,46
fev/03	26,50%	15,85%	3,57
mar/03	26,50%	16,57%	3,45
abr/03	26,50%	16,77%	3,12
mai/03	26,50%	17,24%	2,97
jun/03	26,00%	16,57%	2,9
jul/03	24,50%	15,43%	2,9
ago/03	22,00%	15,07%	3
set/03	20,00%	15,14%	2,93
out/03	19,00%	13,98%	2,87
nov/03	17,50%	11,02%	2,91
dez/03	16,50%	9,30%	2,9
jan/04	16,50%	7,71%	2,87
fev/04	16,50%	6,69%	2,95
mar/04	16,25%	5,89%	2,9
abr/04	16,00%	5,26%	2,92
mai/04	16,00%	5,15%	3,09
jun/04	16,00%	6,06%	3,13
jul/04	16,00%	6,81%	3,04
ago/04	16,00%	7,18%	3
set/04	16,25%	6,70%	2,9
out/04	16,75%	6,86%	2,85
nov/04	17,25%	7,24%	2,79
dez/04	17,75%	7,60%	2,73
jan/05	18,25%	7,41%	2,67
fev/05	18,75%	7,39%	2,6
mar/05	19,25%	7,54%	2,69
abr/05	19,50%	8,07%	2,59
mai/05	19,75%	8,05%	2,45
jun/05	19,75%	7,27%	2,42
jul/05	19,75%	6,57%	2,42
ago/05	19,75%	6,02%	2,36
set/05	19,50%	6,04%	2,29
out/05	19,00%	6,36%	2,26
nov/05	18,50%	6,22%	2,21
dez/05	18,00%	5,69%	2,28
jan/06	17,25%	5,70%	2,28
fev/06	17,25%	5,51%	2,17
mar/06	16,50%	5,32%	2,17
abr/06	15,75%	4,63%	2,13
mai/06	15,75%	4,23%	2,23
jun/06	15,25%	4,03%	2,24
jul/06	14,75%	3,97%	2,19
ago/06	14,25%	3,84%	2,16
set/06	14,25%	3,70%	2,18
out/06	13,75%	3,26%	2,15
nov/06	13,25%	3,02%	2,17
dez/06	13,25%	3,14%	2,15
jan/07	13,00%	2,99%	2,14
fev/07	13,00%	3,02%	2,11
mar/07	12,75%	2,96%	2,09
abr/07	12,50%	3,00%	2,04
mai/07	12,50%	3,18%	1,98
jun/07	12,00%	3,69%	1,94
jul/07	11,50%	3,74%	1,89
ago/07	11,50%	4,18%	2
set/07	11,25%	4,15%	1,9
out/07	11,25%	4,12%	1,79
nov/07	11,25%	4,19%	1,8
dez/07	11,25%	4,46%	1,79
jan/08	11,25%	4,56%	1,78
fev/08	11,25%	4,61%	1,72
mar/08	11,25%	4,73%	1,71
abr/08	11,75%	5,04%	1,7
mai/08	11,75%	5,58%	1,66
jun/08	12,25%	6,06%	1,62
jul/08	13,00%	6,37%	1,59
ago/08	13,00%	6,17%	1,6
set/08	13,75%	6,25%	1,8
out/08	13,75%	6,41%	2,21
nov/08	13,75%	6,39%	2,28
dez/08	13,75%	5,90%	2,45
jan/09	12,75%	5,84%	2,28
fev/09	12,75%	5,90%	2,32
mar/09	11,25%	5,61%	2,33
abr/09	10,25%	5,53%	2,24
mai/09	10,25%	5,20%	2,08
jun/09	9,25%	4,80%	1,97
jul/09	8,75%	4,50%	1,94
ago/09	8,75%	4,36%	1,86
set/09	8,75%	4,34%	1,84
out/09	8,75%	4,17%	1,75
nov/09	8,75%	4,22%	1,74
dez/09	8,75%	4,31%	1,75
jan/10	8,75%	4,59%	1,81
fev/10	8,75%	4,83%	1,84
mar/10	8,75%	5,17%	1,79
abr/10	9,50%	5,26%	1,76
mai/10	9,50%	5,22%	1,82
jun/10	10,25%	4,84%	1,82
jul/10	10,75%	4,60%	1,78
ago/10	10,75%	4,49%	1,76
set/10	10,75%	4,70%	1,72
out/10	10,75%	5,20%	1,68
nov/10	10,75%	5,63%	1,71
dez/10	10,75%	5,91%	1,69
jan/11	11,25%	5,99%	1,67
fev/11	11,25%	6,01%	1,67
mar/11	11,75%	6,30%	1,66
abr/11	12,00%	6,51%	1,59
mai/11	12,00%	6,55%	1,61
jun/11	12,25%	6,71%	1,59
jul/11	12,50%	6,87%	1,56
ago/11	12,50%	7,23%	1,6
set/11	12,00%	7,31%	1,77
out/11	11,50%	6,97%	1,79
nov/11	11,50%	6,64%	1,81
dez/11	11,00%	6,50%	1,83
jan/12	10,50%	6,22%	1,8
fev/12	10,50%	5,85%	1,72
mar/12	9,75%	5,24%	1,77
abr/12	9,00%	5,10%	1,86
mai/12	8,50%	4,99%	2,01
jun/12	8,50%	4,92%	2,05
jul/12	8,00%	5,20%	2,02
ago/12	7,50%	5,24%	2,03
set/12	7,50%	5,28%	2,03
out/12	7,25%	5,45%	2,03
nov/12	7,25%	5,53%	2,08
dez/12	7,25%	5,84%	2,09
jan/13	7,25%	6,15%	2,02
fev/13	7,25%	6,31%	1,97
mar/13	7,25%	6,59%	1,98
abr/13	7,50%	6,49%	2
mai/13	8,00%	6,50%	2,07
jun/13	8,00%	6,70%	2,18
jul/13	8,50%	6,27%	2,25
ago/13	9,00%	6,09%	2,36
